Data Dump,,,,,,,,,Averaged Movement Time and Throughput per Case,,,,,
User,Case,Target Width,Amplitude,ID,Movement Time,Throughput,,,ID,Movement Time,Throughput,,Coefficients for MT over ID:,
1,1,35,200,2.74723393,0.506491184,5.424050833,,,2.212993723,0.633725986,3.614476321,,Slope,0.19098503
1,1,35,200,2.74723393,0.706685305,3.887492653,,,2.74723393,0.727830052,3.838503677,,Intercept,0.196570521
1,1,35,200,2.74723393,0.708512306,3.87746819,,,3.048363022,0.70862478,4.51789474,,,
1,1,35,200,2.74723393,0.709991932,3.869387533,,,3.573991383,0.923408583,4.056653877,,Coefficients for TP over ID:,
1,1,35,200,2.74723393,0.705413103,3.894503685,,,3.635588574,0.917655081,4.015112193,,Slope,0.34882229
1,1,35,200,2.74723393,0.813334703,3.377740945,,,4.181329765,0.973192841,4.492013753,,Intercept,2.961279404
1,1,35,200,2.74723393,0.91123414,3.01484965,,,,,,,,
1,1,35,200,2.74723393,0.812312126,3.381993006,,,,,,,,
1,2,55,600,3.573991383,0.905628204,3.946422346,,,,,,,,
1,2,55,600,3.573991383,0.706432819,5.059209149,,,,,,,,
1,2,55,600,3.573991383,0.711965322,5.019895309,,,,,,,,
1,2,55,600,3.573991383,0.806193352,4.43316901,,,,,,,,
1,2,55,600,3.573991383,0.8061831,4.433225385,,,,,,,,
1,2,55,600,3.573991383,0.914038181,3.910111696,,,,,,,,
1,2,55,600,3.573991383,0.808793068,4.418919405,,,,,,,,
1,2,55,600,3.573991383,0.910903692,3.923566688,,,,,,,,
1,3,35,400,3.635588574,0.707838058,5.136186915,,,,,,,,
1,3,35,400,3.635588574,1.009588242,3.601060734,,,,,,,,
1,3,35,400,3.635588574,0.81283617,4.472719974,,,,,,,,
1,3,35,400,3.635588574,0.813569784,4.468686823,,,,,,,,
1,3,35,400,3.635588574,0.806025505,4.510513068,,,,,,,,
1,3,35,400,3.635588574,0.909240723,3.998488501,,,,,,,,
1,3,35,400,3.635588574,1.009716749,3.600602423,,,,,,,,
1,3,35,400,3.635588574,0.907536268,4.005998108,,,,,,,,
1,4,55,200,2.212993723,0.709049225,3.121072058,,,,,,,,
1,4,55,200,2.212993723,0.708102465,3.125245051,,,,,,,,
1,4,55,200,2.212993723,0.505829334,4.374980993,,,,,,,,
1,4,55,200,2.212993723,0.406257153,5.447273259,,,,,,,,
1,4,55,200,2.212993723,0.908839464,2.434966582,,,,,,,,
1,4,55,200,2.212993723,0.6091609,3.632855823,,,,,,,,
1,4,55,200,2.212993723,0.707632065,3.127322564,,,,,,,,
1,4,55,200,2.212993723,0.514417648,4.301939738,,,,,,,,
1,5,55,400,3.048363022,0.80941987,3.76610846,,,,,,,,
1,5,55,400,3.048363022,0.504696846,6.039988254,,,,,,,,
1,5,55,400,3.048363022,0.608427286,5.010233911,,,,,,,,
1,5,55,400,3.048363022,0.704993963,4.323956205,,,,,,,,
1,5,55,400,3.048363022,0.91037488,3.348470052,,,,,,,,
1,5,55,400,3.048363022,0.710790396,4.288694726,,,,,,,,
1,5,55,400,3.048363022,0.706753969,4.3131884,,,,,,,,
1,5,55,400,3.048363022,1.108050346,2.751105156,,,,,,,,
1,6,35,600,4.181329765,1.415710211,2.953520949,,,,,,,,
1,6,35,600,4.181329765,0.803905964,5.201267253,,,,,,,,
1,6,35,600,4.181329765,0.911731482,4.586141698,,,,,,,,
1,6,35,600,4.181329765,0.70939374,5.894229862,,,,,,,,
1,6,35,600,4.181329765,0.805631876,5.190124534,,,,,,,,
1,6,35,600,4.181329765,1.107573509,3.77521648,,,,,,,,
1,6,35,600,4.181329765,0.907712936,4.606445052,,,,,,,,
1,6,35,600,4.181329765,0.914164066,4.573938004,,,,,,,,
2,1,55,600,3.573991383,0.907725573,3.93730384,,,,,,,,
2,1,55,600,3.573991383,1.519964933,2.351364367,,,,,,,,
2,1,55,600,3.573991383,1.415637493,2.524651544,,,,,,,,
2,1,55,600,3.573991383,0.815299988,4.383651952,,,,,,,,
2,1,55,600,3.573991383,0.808710337,4.419371462,,,,,,,,
2,1,55,600,3.573991383,0.712484598,5.016236691,,,,,,,,
2,1,55,600,3.573991383,1.111260891,3.2161587,,,,,,,,
2,1,55,600,3.573991383,0.913315773,3.913204489,,,,,,,,
2,2,55,400,3.048363022,0.712177038,4.280344434,,,,,,,,
2,2,55,400,3.048363022,0.610208035,4.995612724,,,,,,,,
2,2,55,400,3.048363022,0.609111071,5.004609452,,,,,,,,
2,2,55,400,3.048363022,0.509362936,5.984658101,,,,,,,,
2,2,55,400,3.048363022,0.606178284,5.028822549,,,,,,,,
2,2,55,400,3.048363022,0.503620625,6.052895519,,,,,,,,
2,2,55,400,3.048363022,0.912209034,3.341737374,,,,,,,,
2,2,55,400,3.048363022,0.811621904,3.755890526,,,,,,,,
2,3,35,600,4.181329765,0.712682962,5.867026413,,,,,,,,
2,3,35,600,4.181329765,0.913911819,4.575200447,,,,,,,,
2,3,35,600,4.181329765,0.806030512,5.187557671,,,,,,,,
2,3,35,600,4.181329765,1.108852625,3.770861583,,,,,,,,
2,3,35,600,4.181329765,1.014142036,4.12302184,,,,,,,,
2,3,35,600,4.181329765,1.419655561,2.945312848,,,,,,,,
2,3,35,600,4.181329765,1.211271048,3.452018252,,,,,,,,
2,3,35,600,4.181329765,0.808715105,5.170337166,,,,,,,,
2,4,55,200,2.212993723,0.706474781,3.132445464,,,,,,,,
2,4,55,200,2.212993723,0.71085453,3.113145698,,,,,,,,
2,4,55,200,2.212993723,0.614651203,3.600405746,,,,,,,,
2,4,55,200,2.212993723,0.610366344,3.625681107,,,,,,,,
2,4,55,200,2.212993723,0.60861969,3.636086311,,,,,,,,
2,4,55,200,2.212993723,0.504783154,4.384048294,,,,,,,,
2,4,55,200,2.212993723,0.606497288,3.648810585,,,,,,,,
2,4,55,200,2.212993723,0.70808053,3.125341863,,,,,,,,
2,5,35,400,3.635588574,1.119052887,3.248808538,,,,,,,,
2,5,35,400,3.635588574,1.00978756,3.600349935,,,,,,,,
2,5,35,400,3.635588574,1.013597488,3.586816873,,,,,,,,
2,5,35,400,3.635588574,0.908679962,4.00095603,,,,,,,,
2,5,35,400,3.635588574,0.911007881,3.990732297,,,,,,,,
2,5,35,400,3.635588574,1.016454458,3.576735332,,,,,,,,
2,5,35,400,3.635588574,0.816555977,4.452344575,,,,,,,,
2,5,35,400,3.635588574,0.910993576,3.990794962,,,,,,,,
2,6,35,200,2.74723393,0.707826853,3.881223097,,,,,,,,
2,6,35,200,2.74723393,0.711188793,3.862875731,,,,,,,,
2,6,35,200,2.74723393,0.604745388,4.542794346,,,,,,,,
2,6,35,200,2.74723393,0.71137619,3.861858139,,,,,,,,
2,6,35,200,2.74723393,0.807719231,3.401223873,,,,,,,,
2,6,35,200,2.74723393,0.708038568,3.880062544,,,,,,,,
2,6,35,200,2.74723393,0.809826851,3.392371995,,,,,,,,
2,6,35,200,2.74723393,0.710584164,3.866162617,,,,,,,,
